<platter, cylinder, sector, number of requested sectors>
931) <1, 13, 17, 16>
932) <1, 20, 6, 17>
933) <1, 23, 2, 19>
934) <1, 24, 3, 10>
935) <0, 3, 5, 12>
936) <0, 10, 2, 20>
937) <2, 2, 6, 11>
938) <2, 22, 13, 13>
939) <1, 10, 7, 12>
940) <3, 18, 7, 17>
941) <3, 9, 6, 10>
942) <3, 24, 18, 12>
943) <1, 20, 3, 19>
944) <2, 22, 17, 14>
945) <2, 16, 15, 6>
946) <3, 18, 9, 14>
947) <3, 6, 16, 15>
948) <1, 15, 10, 18>
949) <0, 1, 18, 12>
950) <2, 8, 2, 16>
951) <3, 2, 13, 6>
952) <3, 11, 18, 2>
953) <3, 6, 18, 3>
954) <2, 17, 7, 14>
955) <3, 3, 7, 18>
956) <2, 19, 6, 15>
957) <2, 14, 5, 5>
958) <0, 10, 19, 8>
959) <1, 0, 4, 5>
960) <0, 15, 6, 16>
961) <1, 9, 9, 16>
962) <0, 7, 1, 8>
963) <0, 20, 16, 12>
964) <2, 7, 5, 9>
965) <2, 8, 12, 11>
966) <3, 16, 9, 13>
967) <0, 16, 17, 5>
968) <1, 13, 11, 15>
969) <3, 6, 1, 12>
970) <2, 2, 11, 3>
971) <3, 12, 13, 6>
972) <2, 11, 5, 9>
973) <2, 17, 11, 10>
974) <0, 17, 13, 10>
975) <2, 20, 13, 12>
976) <1, 7, 17, 18>
977) <2, 24, 8, 1>
978) <1, 21, 14, 9>
979) <3, 20, 5, 2>
980) <3, 0, 1, 10>
981) <3, 17, 10, 1>
982) <1, 18, 9, 8>
983) <2, 19, 19, 4>
984) <3, 13, 0, 14>
985) <3, 6, 5, 2>
986) <0, 12, 1, 4>
987) <0, 17, 4, 16>
988) <1, 21, 4, 10>
989) <2, 14, 1, 8>
990) <1, 5, 15, 16>
991) <0, 16, 11, 1>
992) <2, 21, 5, 3>
993) <0, 3, 15, 18>
994) <3, 6, 12, 8>
995) <3, 17, 14, 6>
996) <3, 8, 6, 14>
997) <0, 7, 1, 14>
998) <1, 8, 1, 18>
999) <2, 17, 9, 9>
1000) <3, 0, 2, 13>
